start_airport,start_icao,end_airport,end_icao,route_name,route_passengers,start_pax_total,end_pax_total,start_pax_pct,year,data_quality
Frankfurt Main,EDDF,Barajas,LEMD,Frankfurt Main - Barajas,1066069,70066509,59373123,1.52,2019,complete
Frankfurt Main,EDDF,Malaga,LEMG,Frankfurt Main - Malaga,292291,70066509,19158321,0.42,2019,complete
Frankfurt Main,EDDF,Palma de Mallorca,LEPA,Frankfurt Main - Palma de Mallorca,1128316,70066509,27397471,1.61,2019,complete
Frankfurt Main,EDDF,Valencia,LEVC,Frankfurt Main - Valencia,382509,70066509,8341358,0.55,2019,complete
Frankfurt Main,EDDF,Sevilla,LEZL,Frankfurt Main - Sevilla,120202,70066509,7454425,0.17,2019,complete
Frankfurt Main,EDDF,Helsinki Malmi,EFHF,Frankfurt Main - Helsinki Malmi,NA,70066509,NA,NA,2019,missing_end_pax
Frankfurt Main,EDDF,Helsinki Vantaa,EFHK,Frankfurt Main - Helsinki Vantaa,524946,70066509,NA,0.75,2019,missing_end_pax
Frankfurt Main,EDDF,Merignac,LFBD,Frankfurt Main - Merignac,23104299.067508865,70066509,7618599,NA,2019,complete
Frankfurt Main,EDDF,Blagnac,LFBO,Frankfurt Main - Blagnac,272254,70066509,9451746,0.39,2019,complete
Frankfurt Main,EDDF,Saint Exupery,LFLL,Frankfurt Main - Saint Exupery,381470,70066509,11461753,0.54,2019,complete
Frankfurt Main,EDDF,Provence,LFML,Frankfurt Main - Provence,249711,70066509,10030599,0.36,2019,complete
Frankfurt Main,EDDF,Cote D'Azur,LFMN,Frankfurt Main - Cote D'Azur,313309,70066509,14277508,0.45,2019,complete
Frankfurt Main,EDDF,Charles De Gaulle,LFPG,Frankfurt Main - Charles De Gaulle,1040806,70066509,75449170,1.49,2019,complete
Frankfurt Main,EDDF,Orly,LFPO,Frankfurt Main - Orly,47140943.63313627,70066509,31716559,NA,2019,complete
Frankfurt Main,EDDF,Dubrovnik,LDDU,Frankfurt Main - Dubrovnik,120606,70066509,NA,0.17,2019,missing_end_pax
Frankfurt Main,EDDF,Split International,LDSP,Frankfurt Main - Split International,153436,70066509,NA,0.22,2019,missing_end_pax
Frankfurt Main,EDDF,Zagreb,LDZA,Frankfurt Main - Zagreb,328992,70066509,NA,0.47,2019,missing_end_pax
Frankfurt Main,EDDF,Dublin,EIDW,Frankfurt Main - Dublin,758907,70066509,NA,1.08,2019,missing_end_pax
Frankfurt Main,EDDF,Keflavik International Airport,BIKF,Frankfurt Main - Keflavik International Airport,255326,70066509,NA,0.36,2019,missing_end_pax
Frankfurt Main,EDDF,Catania Fontanarossa,LICC,Frankfurt Main - Catania Fontanarossa,164262,70066509,9740700,0.23,2019,complete
Frankfurt Main,EDDF,Olbia Costa Smeralda,LIEO,Frankfurt Main - Olbia Costa Smeralda,13911556.533112677,70066509,2762110,NA,2019,complete
